coaltypecode,economytypecode,standardclass,transmitstyle,grime_explosive,coalstatecode,design_output,proved_output,mine_waterburst,mine_waterburst_max,target
1.0,0.8333333333333334,0.25,0.0,0.11235955056179775,0.25,1.0E-4,1.0E-4,0.005259006047856955,0.0011751917031465758,0.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.11235955056179775,1.0,6.666666666666667E-5,6.666666666666667E-5,0.002103602419142782,5.875958515732879E-4,0.0
1.0,0.8333333333333334,0.125,2.7357198186750046E-4,0.11235955056179775,0.3625,4.993507224963676E-4,1.6682898604257474E-4,0.003955138427782422,0.001764289761242502,1.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.11235955056179775,0.625,6.666666666666667E-5,6.666666666666667E-5,0.014725216933999474,0.0028204600875517817,0.0
0.7079258222280895,0.034654303704681526,0.0,0.0,0.0,0.25,0.0013333333333333333,0.0015280494518479406,0.0103826793584568,0.0016467349479302904,1.0
0.38285881142374034,0.5385431683485502,0.408881069214876,0.0,0.0,0.15,0.01484447039992485,0.002201374039392067,0.014169358670136271,0.003074510983060597,1.0
0.8013439293172633,0.5353492273092276,0.1506719646586315,0.11235955056179775,0.06771773692522762,0.25,2.3288535689424563E-4,2.3288535689424563E-4,0.005352877796962289,0.0011220711703174905,1.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.11235955056179775,0.25,1.0E-4,1.0E-4,6.74587982097769E-4,2.77184884216652E-4,1.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.11235955056179775,0.25,6.834067828983547E-5,6.834067828983547E-5,0.008912740554485564,0.002150367759995819,1.0
0.0,0.0,0.125,0.0,0.0,0.25,5.0E-4,4.4444444444444447E-4,0.015251117538785169,0.001997825895349179,0.0
1.0,0.8333333333333334,1.0,0.0,0.0,0.375,5.0E-4,8.3515320264389E-4,0.0026295030239284773,8.813937773599318E-4,0.0
1.0,0.8333333333333334,1.0,0.0,0.11235955056179775,1.0,3.333333333333333E-4,8.3515320264389E-4,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.11235955056179775,0.25,4.4444444444444447E-5,4.4444444444444447E-5,0.003155403628714173,5.582160589946235E-4,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0013915915161376116,0.0021251252508817584,0.020788237011297298,0.0034166314229474412,1.0
0.5,0.0,0.0,0.0,0.0,0.25,6.666666666666666E-4,6.666666666666666E-4,0.00946621088614252,0.0012339512883039047,0.0
1.0,0.8333333333333334,0.408881069214876,0.449438202247191,0.0,1.0,6.666666666666667E-5,6.666666666666667E-5,0.01850467881024411,0.004015202068390937,0.0
1.0,0.08333333333333333,0.25,0.11235955056179775,0.0,0.25,6.666666666666667E-5,6.666666666666667E-5,0.005259006047856955,8.813937773599318E-4,0.0
1.0,0.5385431683485502,0.408881069214876,0.33707865168539325,0.11235955056179775,0.625,3.3333333333333335E-5,8.888888888888889E-5,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.25,0.0,0.0,0.25,5.0E-4,6.666666666666666E-4,0.005259006047856955,0.0011751917031465758,0.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.11235955056179775,0.5,6.666666666666667E-5,6.666666666666667E-5,0.009203260583749671,0.0018803067250345213,0.0
1.0,0.8333333333333334,0.25,0.449438202247191,0.0,0.375,1.6666666666666666E-4,1.6666666666666666E-4,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.25,0.2725609214111882,0.11235955056179775,0.25,1.4752640668531917E-4,1.4752640668531917E-4,0.005587219223653501,9.72464644612434E-4,1.0
0.0,0.0,0.25,0.11235955056179775,0.0,0.25,1.0E-4,4.4444444444444447E-5,0.00236655272153563,2.9379792578664395E-4,0.0
1.0,0.8333333333333334,0.125,0.0,0.11235955056179775,0.25,1.6666666666666666E-4,1.6666666666666666E-4,0.011832763607678149,0.005875958515732879,0.0
1.0,0.08333333333333333,1.0,0.11235955056179775,0.11235955056179775,0.375,1.0E-4,1.0E-4,7.888509071785432E-4,2.3503834062931517E-4,0.0
1.0,0.8333333333333334,0.125,0.11235955056179775,0.0,0.25,1.0E-4,6.666666666666667E-5,0.007888509071785432,0.0019096865176131857,0.0
1.0,0.8333333333333334,0.4065362848945884,0.6782442458347562,0.0,0.2875,7.854961638898374E-5,8.56997442593225E-5,0.002160809240508135,3.484757484497143E-4,1.0
0.0,0.0,0.125,0.0,0.0,0.375,0.0013333333333333333,0.0013333333333333333,0.005259006047856955,8.813937773599318E-4,0.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.0,0.375,3.333333333333333E-4,6.666666666666667E-5,0.003944254535892716,8.813937773599318E-4,0.0
1.0,0.5524450079058402,0.408881069214876,0.1070608512489495,0.0,0.375,7.924224636915993E-5,1.0290728047969619E-4,1.1160289638683895E-4,1.5240551832648216E-5,1.0
0.0,0.0,0.0,0.051587331480243366,0.0,0.25,0.0014437615698024524,0.001035648458536527,0.013456687547425506,0.0018213484660626928,1.0
0.5186900063722634,0.03115001062043916,0.00467250159306587,0.0,0.0,0.3625,9.813099936277364E-4,0.001,0.001442529625474323,3.1027118110197444E-4,1.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0024837509197032717,0.0027123956034075156,0.013060169399478495,0.0018930323745986368,1.0
1.0,0.8333333333333334,0.12195207994928862,0.002739703416369773,0.0,0.25,6.585388798647699E-4,6.585388798647699E-4,0.009325081211598247,0.0017993228363454548,1.0
1.0,0.8333333333333334,0.25,0.05085870689867366,0.11235955056179775,0.65,1.0E-4,1.0E-4,0.0032356238880438264,8.91586885902705E-4,1.0
